UNITID,F1A13,F1A18
100654,113050823,79610700
100663,1088903701,2236977186
100706,130385545,261995785
100724,204446635,136138305
100733,2203052,13098975
100751,905840696,1534341490
100760,10140149,22932492
100812,20650652,27065625
100830,39394693,51193331
100858,812085277,1269294273
101028,10445983,18033285
101143,5963711,24062130
101161,20850048,30817015
101240,35757086,57786909
101286,13217418,44136484
101295,31366693,83222628
101301,2036047,39336159
101462,4402545,9892885
101471,690434,7366702
101480,114879272,79295032
101499,2158441,12969872
101505,69484963,37978183
101514,42375437,62481347
101569,18332283,26741275
101587,16856130,28355064
101602,7360352,18250392
101648,3827791,20023363
101709,36168552,54975399
101736,7163607,30655282
101879,38382782,91967262
101897,8285014,21010496
101949,5380751,16519553
101994,3483538,4555859
102030,13035605,31051613
102067,18393969,67517711
102076,8322184,22809163
102094,497886000,419271000
102313,10359907,18785290
102368,158690164,236101970
102429,22061418,54322641
102553,64705697,315496448
102614,84879142,397139554
102632,15387037,58283167
102711,,
103361,640938,14465498
103529,106188494,204477441
104151,1270088000,1036795000
104160,88751785,55033945
104179,1360046000,973603000
104346,67227936,80739938
104425,30842174,48813724
104577,2933652,74882695
104708,,
105136,776002667,660052656
105145,,
105154,,
105206,12286533,17391342
105297,3909846,52777716
105330,547571782,368830300
105349,1300414,58528019
105428,,
105525,38180606,199062637
105668,,
105747,,
105792,,
106148,62504995,65289513
106245,119504456,185509739
106263,453029000,671946000
106397,557873774,635232999
106412,31127843,84367807
106449,40584531,37169484
106458,146814628,184969150
106467,66384309,80642614
106485,16220118,38363491
106625,3715414,34514814
106704,101879641,89225985
106795,6752634,11771549
106829,,
106883,1841169,19659161
106980,15243598,19567155
106999,5351596,15695958
107071,38746600,36023359
107318,18890404,35869557
107327,6121569,23099020
107460,5788429,18621580
107488,,
107521,2133219,3836707
107549,3897531,9606742
107585,4306994,14154284
107619,14697282,14537767
107637,3033282,24409091
107664,52118590,35329083
107725,7747809,10029893
107743,1843781,12762489
107974,6042816,21745884
107983,43250484,40406447
107992,1777440,18507498
108056,14783824,26652575
108092,85605149,80046381
