UNITID,EFFYLEV,EFYTOTLT
100654,1,6388
100654,2,5295
100654,4,1093
100663,1,20647
100663,2,13004
100663,4,7643
100690,1,1062
100690,2,508
100690,4,554
100706,1,8976
100706,2,6984
100706,4,1992
100724,1,6517
100724,2,5548
100724,4,969
100751,1,33681
100751,2,27175
100751,4,6506
100760,1,3411
100760,2,3411
100812,1,4782
100812,2,4782
100830,1,7119
100830,2,5833
100830,4,1286
100858,1,26840
100858,2,21322
100858,4,5518
100937,1,1594
100937,2,1571
100937,4,23
101028,1,2525
101028,2,2525
101073,1,774
101073,2,774
101116,1,1353
101116,2,1248
101116,4,105
101143,1,4103
101143,2,4103
101161,1,6846
101161,2,6846
101189,1,3961
101189,2,3316
101189,4,645
101240,1,9949
101240,2,9949
101277,1,52
101277,2,52
101286,1,6992
101286,2,6992
101295,1,8505
101295,2,8505
101301,1,3385
101301,2,3385
101365,1,755
101365,2,755
101435,1,1315
101435,2,1315
101453,1,109
101453,2,73
101453,4,36
101462,1,2318
101462,2,2318
101471,1,1007
101471,2,1007
101480,1,11394
101480,2,9526
101480,4,1868
101499,1,1956
101499,2,1956
101505,1,14856
101505,2,14856
101514,1,17627
101514,2,17627
101541,1,336
101541,2,336
101569,1,7058
101569,2,7058
101587,1,6871
101587,2,2259
101587,4,4612
101602,1,2657
101602,2,2657
101648,1,494
101648,2,494
101675,1,1954
101675,2,1954
101693,1,1998
101693,2,1729
101693,4,269
101709,1,3474
101709,2,2779
101709,4,695
101736,1,6054
101736,2,6054
101879,1,8691
101879,2,7282
101879,4,1409
